id,isbn13,name,author,publisher,book_edition,book_edition,book_language,book_binding,currency_code,price,weight,delivery_charge,quantity,discount,publishing_year,description,no_of_pages,image,cat_id
1529,9789353040369,"FAILING TO SUCCEED (FLEXI - PB)","K. Vaitheeswaran",NULL,1-Jun-19,1-Jun-19,English,Paperback,INR,295,240g,50.00,50,13.00,"Rupa Publications India","You can get things right and yet go wrong. In 1999, when hardly anyone in India transacted on the Internet, K. Vaitheeswaran co-founded India?s first e-commerce company. Yet, years later, when e-commerce was exploding in India? despite enjoying first-mover advantage?Indiaplaza shut down. What went wrong? Lack of funding? Wrong strategies? Or was it ?something else?? for the first time ever, Vaitheeswaran reveals that it was indeed something else?a set of inexplicable events that destroyed what could have been a profitable business (an extreme br>rarity among technology start-ups). he bares his extraordinary trials and tribulations while dealing with business failure and the impossible pressures that can threaten entrepreneurs in India. Coming at the back of stories of young start-ups raising billions of dollars in funding and creating unicorns in just a few years, as well as the recent setbacks in the e-commerce industry, failing to succeed delves deep into the dark side of starting up and its myriad pitfalls. Filled with interesting anecdotes, tongue-in-cheek observations, amazing customer insights, hard-hitting predictions and behind-the-scenes industry happenings, this book is an extraordinary Unravelling of the challenges facing technology start-ups in India. It is a must-read for aspiring entrepreneurs, investors, industry professionals or business School students, and anyone interested in India?s start-up ecosystem. A powerful narration, failing to succeed is eventually about finding ways to move forward and succeed despite failures...",224,9789353040369.jpg,0
1530,9788129137418,"FAITH & TRUE LOVE","Sangeeta Maheshwari",NULL,16-Sep-15,16-Sep-15,English,Paperback,INR,295,181g,0.00,50,21.00,"Rupa Publications India","Distraught over her child's illness, Savitri Sharma found answers in Shyam Baba. Shyam Baba, the deity known for his grace and generosity, channeled through her to alleviate the suffering of his devotees and she committed herself to help all who knocked on her door. Today, she is fondly remembered as 'Maa' by her devotees. She started the Shri Shyam Darbar and a dharamshaala and passed on the legacy to her grandson, Sunny Sharma, before passing away.",157,9788129137418.jpg,0
1531,9789390356393,"FALL AGAIN RISE AGAIN (PB)","Sandeep Aggarwal",NULL,10-Oct-20,10-Oct-20,English,Paperback,INR,295,250g,0.00,50,22.00,"Rupa Publications India","This is an intimate and moving autobiography of one of India?s most successful start-up entrepreneurs. If ever there was anyone whose life could be described as nothing but a roller-coaster, it is that of Sandeep Aggarwal. ?Fall again, rise again? are words that sum up the entire life of the founder of two billion-dollar companies and shopclues. Sandeep?s story is that of a middle-class boy who could not speak English for much of his school life but dreamt to make it big someday. A young professional who went to the US and couldn?t get a job but eventually became a sought-after wall Street analyst. He achieved more success than he could imagine but gave up everything to return to India to become an entrepreneur. An entrepreneur who built one of India?s very few unicorns but was ousted from his own company. A dreamer who saw his dreams crushed by Charges of insider trading in the US but rose like a Phoenix to create yet another company?droom. He was an accused whose agonizing wait for a final decision in his case continued for six long years. But that did not stop a string of global investors from putting money into droom, including Japan?s Toyota group company. He was finally vindicated when the US government dropped all criminal Charges against him in February2020, and the securities and Exchange Commission settled all Civil Charges against him around the same time. This is unlike any autobiography, especially among those written by people from the business world. Sandeep?s emotional strength and searing honesty will inspire and impact you in a way that is very, very rare.",200,9789390356393.jpg,0
1532,9788129121110,"FALLEN ANGEL","Sandipan Deb",NULL,1-Jan-13,1-Jan-13,English,Paperback,INR,295,181g,0.00,50,22.00,"Rupa Publications India","Based in extensive research, including transcripts of FBI-wiretap conversations, Fallen Angel is an insightful account of a remarkable man and the extraordinary events surrounding him: this is the real story of Rajat Gupa, an orphaned immigrant from India who managed to reach dizzying heights in the US corporate sector; Preet Bharara, the Indian-born US prosecutor who made it a personal mission to send Gupa to prison; Jed S. Rakoff, the Gandhian judge; Raj Rajaratnam, the jailed larger-than-life ?stockster? who was a stock traders and also the richest Sri Lankan-born man on earth: Danielle Chiesi, the former beauty queen who used sex to pry out corporate secrets; Robert Moffatt, who could have been the CEO of IBM but went to prison instead; and Lloyd C. Blankfein, the chairman of Goldman Sachs, either the smartest or the most evil investment banker on the planet.",242,9788129121110.jpg,0
1533,9781447218159,"FALSE IMPRESSION","Jeffrey Archer",NULL,6-Jun-13,6-Jun-13,English,Paperback,INR,450,324g,0.00,50,22.00,PAN,"Jeffrey Archer, one of the greatest popular novelists of our generation, delivers a truly page-turning thriller in�False Impression.�When an aristocratic old lady is brutally murdered in her country home the night before 9/11, it takes all the resources of the FBI and Interpol to work out the connection between her and the possible motive for her death ?a priceless Van Gogh painting. It's a young woman, who was in the North Tower when the first plane crashed into the building, who has the courage and determination to take on both sides of the law and avenge the old lady's death. Anna Petrescu is missing, presumed dead, after 9/11 and she uses her new status to escape from America, only to be pursued across the world from Toronto to London, to Hong Kong, Tokyo and Bucharest, but it is only when she returns to New York that the mystery unfolds. Why are so many people willing to risk their own lives and others' to own the Van Gogh Self-Portrait with Bandaged Ear?",464,9781447218159.jpg,0
1534,9788129114853,"FAMILY PLANNING (HB)"," Mahajan Karan ",NULL,27-Sep-16,27-Sep-16,English,Paperback,INR,395,205g,0.00,50,22.00,"Rupa Publications India","Rakesh Ahuja, a government minister in New Delhi, is beset by problems: thirteen children and another on the way; a wife who mourns the loss of her favourite TV star; and a teenaged son with some really strong opinions about family planning.",264,9788129114853.jpg,0
1535,9781447263227,FANGIRL,"Rainbow Rowell ",NULL,30-Jan-14,30-Jan-14,English,Paperback,INR,450,341g,0.00,50,22.00,PAN,"A love story by Rainbow Rowell, the�New York Times�bestselling author of�Eleanor & Park.",480,9781447263227.jpg,0
1536,9788171674053,"FAR FROM THE MADDING CROWD - RUPA","Thomas Hardy ",NULL,1-Oct-99,1-Oct-99,English,Paperback,INR,150,250g,0.00,50,20.00,"Rupa Publications India","Hardy's fourth novel, published in 1874 Madding Crowd became so successful that Hardy was able to give up architecture and devote himself to writing.",384,9788171674053.jpg,0
1537,9789353334321,"FAST AND FLUENT (PB)","Akhila Phadnis",NULL,20-May-19,20-May-19,English,Paperback,INR,195,172g,0.00,50,21.00,"Rupa Publications India","If learning a new language is really difficult, can you explain how you know the English language, which has more than 100,000 words? This book aims to help readers understand how they learn and remember language. It is especially helpful for those who believe that learning a new language is difficult and time-consuming, not to mention the intense effort involved in memorizing new words and usage rules. Turning this assumption on its head, Akhila Phadnis and Meghna Chandrika Narendran show how easy it, in fact, is, providing pointers and exercises that serve as memory hacks to enhance our ability to absorb and retain vocabulary, as well as the underlying rules of grammar. What is more, it unravels basic rules that can be applied to any language and can even be used to improve proficiency in languages already known. The worksheets provided at the end of the book serve to boost and consolidate the skills imparted in every chapter. Fast and Fluent will not only help you pick up a new language fast, it will also help you communicate effectively in any language of your choice.",168,9789353334321.jpg,0
1538,9788129137500,"FASTER, SMARTER, HIGHER","Utkarsh Rai",NULL,15-Apr-16,15-Apr-16,English,Paperback,INR,195,213g,0.00,50,22.00,"Rupa Publications India","Hard work is necessary for a job, but not sufficient for career growth. Given that workplace dynamics are ever-changing, one needs to anticipate and prepare for the impending twists and turns in one?s career. Lack of understanding of managing key relationships can lead to frustration in one?s career. Being in a hurry to rise, people often ignore to hone this skill, focusing too much on their subject matter expertise. Faster, Smarter, Higher provides clever and critical tips on how to manage various key relationships at work.",199,9788129137500.jpg,0
1539,9788171674985,"FATHERS AND SONS"," Sergeyevich Turgenev ",NULL,1-Apr-00,1-Apr-00,English,Paperback,INR,95,181g,30.00,50,1.00,"Rupa Publications India","Fathers and Sons transcends the limits of times and cultures, though set in a definite time frame in Russian history. It critically views the conflict between the younger members of the Russian intelligentsia who became prominent after the Crimean War and the old intellectuals. It drew flak from the conservatives as well as the radicals.",376,9788171674985.jpg,0
1540,9781250006233,FEAR,"Osho ",NULL,1-Dec-12,1-Dec-12,English,Paperback,INR,399,174g,0.00,50,22.00,PAN,"A journey through what makes human beings afraid, into a new relationship with our fears In Fear: Understanding and Accepting the Insecurities of Life, Osho takes the reader step by step over the range of what makes human beings afraid from the reflexive "fight or flight" response to physical danger to the rational and irrational fears of the mind and its psychology. Only by bringing the light of understanding into fear's dark corners, he says, airing out closets and opening windows and looking under the bed to see if a monster is really living there, can we begin to venture outside the boundaries of our comfort zone and learn to live with and even enjoy, the fundamental insecurity of being alive. Fear ends with a series of meditation experiments designed to help readers experience a new relationship with fear and to begin to see fears not as stumbling blocks, but as stepping stones to greater self-awareness and trust.",192,9781250006233.jpg,0
1541,9788129149015,"FEAST - WITH A TASTE OF AMIR KHUSRO","Bisma Tirmizi",NULL,20-Nov-17,20-Nov-17,English,Paperback,INR,295,249g,0.00,50,22.00,"Rupa Publications India","?Stories and food remain the same, only faces change and those too only vaguely. The same faces keep coming back every few generations to eat the same food and live out the same stories.?",224,9788129149015.jpg,0
1542,9788129140081,"FEET IN THE VALLEY","Aswini Kumar Mishra",NULL,23-Nov-16,23-Nov-16,English,Paperback,INR,350,386g,0.00,50,21.00,"Rupa Publications India","Somen is a young man, son of an honest railway official, who is trying desperately to redeem himself in the eyes of his small railway town community in Odisha?they have already written him off as a ?failure? who could not clear the Indian civil service exams. Feet in the Valley describes how, with the support of his family, Somen negotiates the serpentine path to success. Along the way, he must come to terms with many challenges and frustrations both at a personal and social level?from the venal and widespread corruption of the local public administration officials who treat drought relief funds as their personal bonuses, to the shameless culture of kowtowing to senior officials in exchange for favours; from the anger and satisfaction of supporting the forest dwellers in their struggles, to sorting out his own love-life. More than once, Somen is tempted to take the easy way out and abandon his ethics in pursuit of material success, but with the example of his honest father before him and his mother?s unwavering faith, he soldiers on. Aswini Kumar Mishra?s book gives the reader an unstinting picture of how corruption, nepotism and the culture of ?bada sahibs? pans out at a local level. It also paints a sharp outline of the pressures and pleasures of small-town social life, the idealism of love based on trust and mutual respect and reinforces the message that the small guy can not only survive, but even triumph!",304,9788129140081.jpg,0
1543,9789389836189,"FERAL DREAMS : MOWGLI & HIS MOTHERS (HB)"," Aswini Kumar Mishra ",NULL,23-Nov-16,23-Nov-16,English,Paperback,INR,599,386g,0.00,50,21.00,"Aleph Book Company","Somen is a young man, son of an honest railway official, who is trying desperately to redeem himself in the eyes of his small railway town community in Odisha?they have already written him off as a ?failure? who could not clear the Indian civil service exams. Feet in the Valley describes how, with the support of his family, Somen negotiates the serpentine path to success. Along the way, he must come to terms with many challenges and frustrations both at a personal and social level?from the venal and widespread corruption of the local public administration officials who treat drought relief funds as their personal bonuses, to the shameless culture of kowtowing to senior officials in exchange for favours; from the anger and satisfaction of supporting the forest dwellers in their struggles, to sorting out his own love-life. More than once, Somen is tempted to take the easy way out and abandon his ethics in pursuit of material success, but with the example of his honest father before him and his mother?s unwavering faith, he soldiers on. Aswini Kumar Mishra?s book gives the reader an unstinting picture of how corruption, nepotism and the culture of ?bada sahibs? pans out at a local level. It also paints a sharp outline of the pressures and pleasures of small-town social life, the idealism of love based on trust and mutual respect and reinforces the message that the small guy can not only survive, but even triumph!",304,9789389836189.jpg,0
1544,9788129115225,"FIFTEEN MANTRAS FOR THE EMPOWERED WOMAN (HB)"," Abha Sharma Rodrigues",NULL,1-Jan-09,1-Jan-09,English,Hardcover,INR,595,689g,50.00,50,22.00,"Rupa Publications India","Your happiness, self-esteem and empowerment are more valuable and precious than any other material possessions. You were born to live an abundant life, a meaningful life, a fulfilled life. Fifteen Mantras for the Empowered Woman will precisely show you h",283,9788129115225.jpg,0
1545,9789382277040,"FILOMENA'S JOURNEYS A PORTRAIT OF A MARRIAGE, A FAMILY & A CULTURE","Maria Aurora Couto ",NULL,1-Nov-13,1-Nov-13,English,Hardcover,INR,495,500g,0.00,50,22.00,"Aleph Book Company","Filomena's Journeys is a daughter's moving tribute to the mother who held her world and that of her six siblings, together through long years of insecurity and hardship. It is also an often heart-breaking attempt to come to terms with the painful memories of her father. In 1935, Filomena Borges, aged twenty-six, married for love and moved from her grandmother's village, Raia, where she had arrived as an orphaned child, to one of Goa's most prominent and fashionable towns of the time, Marg�o. This move, from rural peace and simplicity to urban buzz and formality, from a modest landowning family to one of formidable eminence, was to transform her life, but in ways she could not have imagined. Chico, the man who had charmed her with his wit and intelligence, turned out to be as troubled as he was passionate. An unusually gifted musician, he lacked the discipline and conviction to rise above the limitations of great but vanishing privilege that was the bane of Goa's Catholic elite in the twentieth century. The frustration broke Chico and his decline threatened to destroy his family. Until Filomena took a leap into the unknown and moved with her young children to Dharwar, a town across the border, in Karnataka. Here, in unfamiliar surroundings, with no source of income apart from a share of the harvest from dwindling family lands back in Goa and rent from students whom she took in as lodgers, Filomena raised her seven children, shielding them from tragedy, and gave them the best opportunities to fashion secure futures for themselves. In her last years, when they were all settled, the period of her quiet triumph, she chose to live alone, sustained till the end by the qualities she had absorbed as a young girl from her grandmother: Pragmatism, Faith, Compassion, Love of family and a strong connection with the land and Goa's ancient traditions. A compelling family memoir, Filomena's Journeys is also a revealing examination of Goan society and culture and like all enduring stories, this testament to resilience and hope makes the particular universal.",314,9789382277040.jpg,0
1546,9781591792734,"FINDING GOD THROUGH SEX","David Deida ",NULL,21-Aug-20,21-Aug-20,English,Paperback,INR,699,376g,0.00,50,22.00,PAN,"When it comes to sex, most of us want more. The question is: more of what? According to David Deida, when the depth of intimacy you've been experiencing is no longer fulfilling to your heart and body-when you sense that sexuality should go far beyond an embrace of brief satisfaction-the time has come to explore your unique sexual path to the divine.",304,9781591792734.jpg,0
1547,9788194735328,"FINDING MEANING IN LIFE WITH THE BHAGAVAD GITA (HB)","Neema Majmudar and Nandini Mirani and Saloni Jhaveri",NULL,10-Dec-20,10-Dec-20,English,Hardcover,INR,399,480g,0.00,50,22.00,"Aleph Book Company","The Bhagavad Gita, also known as the Gita, is one of the world?s oldest and most influential spiritual texts. Part of the Mahabharata, composed by Ved Vyasa anywhere between the fifth and second centuries BCE, the 700 verses of the Gita are set in the form of a dialogue between Arjuna, one of the five Pandavas, and Lord Krishna, his charioteer, on the great battlefield of Kurukshetra. Arjuna is filled with despair about the violence and death the imminent war between the Pandavas and their cousins, the Kauravas, will cause, and is also grappling with other moral dilemmas. The Krishna?Arjuna dialogues cover a broad range of topics, touching upon ethical concerns and philosophical issues that go far beyond the eighteen-day war that is about to take place.",184,9788194735328.jpg,0
1548,9789353337285,"FIRE AND FURY TRANSFORMING INDIA'S STRATEGIC IDENTITY","Anil Kakodkar and Suresh Gangotra",NULL,5-Nov-19,5-Nov-19,English,Hardcover,INR,500,422g,90.00,50,22.00,"Rupa Publications India","In March 2006, George W. Bush, President of the United States of America, visited India to finalise the landmark Civil nuclear deal between the two countries. But far from the hum of expectations, the US negotiating team was hard at work in South block?making every possible attempt to alleviate the concerns raised by Anil kakodkar, Chairman of the Atomic energy Commission (aec), and Secretary, Department of Atomic energy (dae). kakodkar?s firmness paid off and the US team conceded to the demands made in the interest of India?s strategic autonomy. Little wonder then that when kakodkar was introduced to President Bush, he asked, ?so you are that kakodkar? Are you happy?? It is this courage of conviction and firm resolve that has defined the remarkable life and times of Anil kakodkar, one of India?s most respected nuclear scientists. Fire and fury is a recollection of his profound journey?from humble beginnings in Madhya Pradesh to the highest Office of the Chairman, aec?through different events and watershed moments in the country Atomic energy programme over the past forty-five years. It chronicles the many inflection points of the programme as seen through the eyes of one of the chief architects of that journey.",224,9789353337285.jpg,0
1549,9781529055917,"FIREFLY LANE","Kristin Hannah",NULL,31-Dec-20,31-Dec-20,English,Paperback,INR,450,346g,0.00,50,22.00,PAN,"It is 1974 and the summer of love is drawing to a close. Kate Mularkey has accepted her place at the bottom of the secondary school social food chain. Then, to her amazement, Tully Hart ? the girl all the boys want to know ? moves in across the street and wants to be her best friend. Tully and Kate became inseparable and by summer?s end they vow that their friendship will last forever.",496,9781529055917.jpg,0
1550,9781471180958,FIREWATCHING,"Russ Thomas ",NULL,15-Oct-20,15-Oct-20,English,Paperback,INR,350,300g,50.00,50,22.00,SIMON,"'Clever and compulsive'�LOUISE CANDLISH�",432,9781471180958.jpg,0
1551,9781408868805,"FIRST DAY AT BUG SCHOOL","Sam Lloyd ",NULL,23-Aug-16,23-Aug-16,English,Paperback,INR,199,206g,0.00,50,22.00,BLOOMS,"At the bottom of the garden where no one really sees, a secret school is hidden amongst the grass and weeds.",32,9781408868805.jpg,0
1552,9781851033652,FISH,"Sabine Krawczyk",NULL,1-Jan-90,1-Jan-90,English,Hardcover,INR,195,205g,73.34,50,11.00,MOON,"Find out about fish that live in the sea, in lakes, and in rivers. Discover the beautiful shapes and colors of fish from all over the world. Learn how to look after fish at home",36,9781851033652.jpg,0
1553,9788129124357,"FIT, TRIM & DISEASE-FREE"," R.K. Suneja ",NULL,1-Feb-14,1-Feb-14,English,Paperback,INR,195,156g,65.00,50,22.00,"Rupa Publications India","Based on the latest advances in medicine, this concise, wide-ranging book by a leading doctor reveals�all that you need to know to be fit, trim and lead an active healthy life, free from stress and disease.�Fit, Trim and Disease-free�will divulge the many secrets which busy doctors are unable to tell you during�your occasional brief consultations with them. Written by an eminent consultant with vast clinical�experience, who is also the best-selling author of�Baby and Child Care, this book will empower you to�be the master of your own health and happiness.",192,9788129124357.jpg,0
1554,9781471185090,"FIVE FEET APART (FILM TIE IN)","Rachael Lippincott ",NULL,15-Apr-19,15-Apr-19,English,Paperback,INR,399,208g,45.00,50,22.00,SIMON,"Soon to be a major motion picture starring Cole sprouse (Riverdale's jughead) and Haley Lu Richardson (the edge of seventeen and recovery road) in this moving story that?s perfect for fans of John green?s the fault in our stars, two teens fall in love with just one minor complication - they can?t get within a few feet of each other without risking their lives. Can you love someone you can never touch Stella grant likes to be in control - even though her totally out of control lungs have sent her in and out of the hospital most of her life. At this point, what Stella needs to control most is keeping herself away from anyone or anything that might pass along an infection and jeopardize the possibility of a lung transplant. Six feet apart. No exceptions. The only thing will Newman wants to be in control of is getting out of this hospital. He couldn't care less about his treatments, or a fancy new clinical drug trial. Soon, he?ll turn eighteen and then he'll be able to unplug all these machines and actually go see the world, not just its hospitals. Will?s exactly what Stella needs to stay away from. If he so much as breathes on Stella she could lose her spot on the transplant list. Either one of them could die. The only way to stay alive is to stay apart. But suddenly six feet doesn't feel like safety. It feels like punishment. What if they could steal back just a little bit of the space their broken lungs have stolen from them, would five feet apart really be so dangerous if it stops their hearts from breaking too",288,9781471185090.jpg,0
1555,9788129135490,"FIVE POINT SOMEONE","Chetan Bhagat",NULL,1-Jan-14,1-Jan-14,English,Paperback,INR,250,295g,0.00,50,22.00,"Rupa Publications India","?Five Point Someone: What Not To Do at IIT? is the debut narrative by renowned author Chetan Bhagat. The plot rotates around 3 friends Hari, Ryan and Alok at IIT. Their companionship is strengthened into close bond during their years at IIT, experiencing extreme hardship to endure through the tough competitions. Three of them have high self-expectations of being at the top in their classes and graduate out of the Institution with flying colours. As opposed to their expectations, the results and scores fall beyond their imagination.",267,9788129135490.jpg,0
1556,9781509896776,"FIVE STARS","Carmine Gallo ",NULL,13-Jun-19,13-Jun-19,English,Paperback,INR,550,184g,50.00,50,22.00,PAN,"An easy-to-read and practical journey through personal development, plus tips on structuring the storytelling that is still considered key to connecting with other people and, crucially, with customers and investors in business.'",256,9781509896776.jpg,0
1557,9789389967074,"FIX IT WITH FOOD","Kavita Devgan",NULL,10-Apr-20,10-Apr-20,English,Paperback,INR,295,240g,0.00,50,22.00,"Rupa Publications India","<What if you could simply eat your way to a longer, healthier life? What if there was a prescription that could help you stay fit, remain energetic, and protect your body from a host of health issues? What if there was a solution for every ailment?from fatigue to sleeping problems to weight issues? Now, there is.",256,9789389967074.jpg,0
1558,9788129139603,"FLYING IN HIGH WINDS"," S. K. Misra ",NULL,17-May-16,17-May-16,English,Hardcover,INR,500,549g,0.00,50,22.00,"Rupa Publications India","Throughout his career, S. K. Misra has flown in high winds, sometimes with them and sometimes against. As principal secretary to three chief ministers of Haryana, including the formidable Bansi Lal and Chaudhary Devi Lal; principal secretary to Prime Minister Chandra Shekhar; and secretary in the Ministries of Tourism, Civil Aviation and Agriculture, he worked closely with strong political leaders. He also developed close friendships with some of the most iconic cultural figures of the time. Among many other achievements, he directed the Festivals of India, set up the National Institute of Fashion Technology, served as chairman of INTACH and played a crucial role in creating the International National Trusts Organization (INTO). He continues to innovate with ITRHD, a new trust for rural heritage and development. In all of this, he has always maintained one thing his integrity.",288,9788129139603.jpg,0
1559,9789384052980,FOCUS," Daniel Goleman",NULL,1-Dec-14,1-Dec-14,English,Paperback,INR,499,220g,0.00,50,22.00,BLOOMS,"For more than two decades, psychologist and journalist Daniel Goleman has been scouting the leading edge of the human sciences for what's new, surprising, and important. In�Focus, he delves into the science of attention in all its varieties, presenting a long overdue discussion of this little-noticed and under-rated mental asset that matters enormously for how we navigate life.",320,9789384052980.jpg,0
1560,9788129119421,"FOOD FOR THOUGHTS"," M. Rajaram ",NULL,1-Feb-12,1-Feb-12,English,Paperback,INR,195,163g,0.00,50,22.00,"Rupa Publications India","Thoughts define actions, which further define success. The best way to start a day is with a noble thought, food for thought is a collection of such inspiring gems, stated by famous luminaries and men of virtue and capabilities. The perls of wisdom in this book are from leaders such as mahatama gandhi, apj abdul kalam and others. These enriching quotes will uplift our spirits and transform us in harmony with other people. This handy book will serve as your friend, philosopher and guide in times of joy and distress alike.",144,9788129119421.jpg,0
